,title,link,department_id,brand,rating,tcin,price,currency,symbol,sponsored,primary_title,ounces
90,Seventh Generation Power + Liquid Laundry Detergent Soap Clean Scent - 50 Loads/87.5 fl oz,https://www.target.com/p/seventh-generation-power-liquid-laundry-detergent-soap-clean-scent-50-loads-87-5-fl-oz/-/A-84215094,3,Seventh Generation,4.5,84215094,13.69,USD,$,False,Seventh Generation Power + Liquid Laundry Detergent Soap Clean Scent ,87.5
89,Seventh Generation Power + Liquid Laundry Detergent Soap Unscented - 50 Loads/87.5 fl oz,https://www.target.com/p/seventh-generation-power-liquid-laundry-detergent-soap-unscented-50-loads-87-5-fl-oz/-/A-84215095,3,Seventh Generation,4.1,84215095,12.99,USD,$,False,Seventh Generation Power + Liquid Laundry Detergent Soap Unscented ,87.5
81,Seventh Generation Power Plus Laundry Detergent - Clean Scent - 23.1oz,https://www.target.com/p/seventh-generation-power-plus-laundry-detergent-clean-scent-23-1oz/-/A-81260459,3,Seventh Generation,4.6,81260459,13.99,USD,$,False,Seventh Generation Power Plus Laundry Detergent ,23.1
69,Tide Clean Breeze High Efficiency Liquid Laundry Detergent - 92 fl oz,https://www.target.com/p/tide-clean-breeze-high-efficiency-liquid-laundry-detergent-92-fl-oz/-/A-13918062,3,Tide,0.0,13918062,12.99,USD,$,False,Tide Clean Breeze High Efficiency Liquid Laundry Detergent ,92
88,Tide Coldwater Clean High Efficiency Liquid Laundry Detergent - 92 fl oz,https://www.target.com/p/tide-coldwater-clean-high-efficiency-liquid-laundry-detergent-92-fl-oz/-/A-15071676,3,Tide,4.7,15071676,12.99,USD,$,False,Tide Coldwater Clean High Efficiency Liquid Laundry Detergent ,92
16,Tide Free Liquid Laundry Detergent - 92 fl oz,https://www.target.com/p/tide-free-liquid-laundry-detergent-92-fl-oz/-/A-13918061,3,Tide,4.6,13918061,12.99,USD,$,False,Tide Free Liquid Laundry Detergent ,92
27,Tide High Efficiency Liquid Laundry Detergent - Free &#38; Gentle - 154 fl oz&#160;,https://www.target.com/p/tide-high-efficiency-liquid-laundry-detergent-free-38-gentle-154-fl-oz-160/-/A-77598306,3,Tide,0.0,77598306,21.49,USD,$,False,Tide High Efficiency Liquid Laundry Detergent ,154.160
23,Tide High Efficiency Liquid Laundry Detergent - Original - 92 fl oz,https://www.target.com/p/tide-high-efficiency-liquid-laundry-detergent-original-92-fl-oz/-/A-13918060,3,Tide,0.0,13918060,12.99,USD,$,False,Tide High Efficiency Liquid Laundry Detergent ,92
94,Tide Hygienic Clean Heavy Duty Power Pods Laundry Detergent Pacs - Original - 76oz/45ct,https://www.target.com/p/tide-hygienic-clean-heavy-duty-power-pods-laundry-detergent-pacs-original-76oz-45ct/-/A-87469571,3,Tide,0.0,87469571,19.99,USD,$,False,Tide Hygienic Clean Heavy Duty Power Pods Laundry Detergent Pacs ,76
53,Tide Liquid Clean Laundry Detergent - Spring Meadow - 92 fl oz,https://www.target.com/p/tide-liquid-clean-laundry-detergent-spring-meadow-92-fl-oz/-/A-81260422,3,Tide,0.0,81260422,12.99,USD,$,False,Tide Liquid Clean Laundry Detergent ,92
149,Tide Liquid Eco-Box HE Compatible Laundry Detergent - Free &#38; Gentle - 105 fl oz,https://www.target.com/p/tide-liquid-eco-box-he-compatible-laundry-detergent-free-38-gentle-105-fl-oz/-/A-79991978,3,Tide,4.7,79991978,19.99,USD,$,False,Tide Liquid Eco,105
70,Tide Liquid High Efficiency Hygenic Clean Laundry Detergent - Free &#38; Gentle - 92 fl oz,https://www.target.com/p/tide-liquid-high-efficiency-hygenic-clean-laundry-detergent-free-38-gentle-92-fl-oz/-/A-81260444,3,Tide,0.0,81260444,12.99,USD,$,False,Tide Liquid High Efficiency Hygenic Clean Laundry Detergent ,92
151,Tide Liquid Laundry Detergent Eco-Box - Original Scent - 105 fl oz,https://www.target.com/p/tide-liquid-laundry-detergent-eco-box-original-scent-105-fl-oz/-/A-75663826,3,Tide,4.5,75663826,19.29,USD,$,False,Tide Liquid Laundry Detergent Eco,105
147,Tide Liquid Non-HE Laundry Detergent - Original - 92 fl oz,https://www.target.com/p/tide-liquid-non-he-laundry-detergent-original-92-fl-oz/-/A-13918059,3,Tide,0.0,13918059,12.99,USD,$,False,Tide Liquid Non,92
67,Tide Liquid Oxi + Odor Eliminator Laundry Detergent - 92 fl oz,https://www.target.com/p/tide-liquid-oxi-odor-eliminator-laundry-detergent-92-fl-oz/-/A-84114524,3,Tide,0.0,84114524,12.99,USD,$,False,Tide Liquid Oxi + Odor Eliminator Laundry Detergent ,92
154,Tide Liquid Simple Laundry Detergent - Free &#38; Gentle - 128 fl oz,https://www.target.com/p/tide-liquid-simple-laundry-detergent-free-38-gentle-128-fl-oz/-/A-87845453,3,Tide,0.0,87845453,10.49,USD,$,False,Tide Liquid Simple Laundry Detergent ,128
150,Tide Original Liquid Laundry Detergent Smart Pouch HE Turbo Clean - 135 fl oz/3pk,https://www.target.com/p/tide-original-liquid-laundry-detergent-smart-pouch-he-turbo-clean-135-fl-oz-3pk/-/A-50953514,3,Tide,4.1,50953514,19.99,USD,$,False,Tide Original Liquid Laundry Detergent Smart Pouch HE Turbo Clean ,135
96,Tide Original Plus Bleach Powder Laundry Detergent - 144oz,https://www.target.com/p/tide-original-plus-bleach-powder-laundry-detergent-144oz/-/A-14228755,3,Tide,4.6,14228755,22.99,USD,$,False,Tide Original Plus Bleach Powder Laundry Detergent ,144
171,Tide Oxi Powder Laundry Detergent - 127oz,https://www.target.com/p/tide-oxi-powder-laundry-detergent-127oz/-/A-87559708,3,Tide,4.0,87559708,19.99,USD,$,False,Tide Oxi Powder Laundry Detergent ,127
17,Tide Plus Downy High Efficiency Liquid Laundry Detergent - April Fresh - 92 fl oz,https://www.target.com/p/tide-plus-downy-high-efficiency-liquid-laundry-detergent-april-fresh-92-fl-oz/-/A-15043038,3,Tide,0.0,15043038,12.99,USD,$,False,Tide Plus Downy High Efficiency Liquid Laundry Detergent ,92
95,Tide Plus Febreze Freshness Botanical Rain HE Turbo Clean Liquid Laundry Detergent - 92 fl oz,https://www.target.com/p/tide-plus-febreze-freshness-botanical-rain-he-turbo-clean-liquid-laundry-detergent-92-fl-oz/-/A-51846257,3,Tide,4.6,51846257,12.99,USD,$,False,Tide Plus Febreze Freshness Botanical Rain HE Turbo Clean Liquid Laundry Detergent ,92
38,Tide Plus Febreze High Efficiency Liquid Laundry Detergent - Spring &#38; Renewal - 92 fl oz,https://www.target.com/p/tide-plus-febreze-high-efficiency-liquid-laundry-detergent-spring-38-renewal-92-fl-oz/-/A-15043040,3,Tide,0.0,15043040,12.99,USD,$,False,Tide Plus Febreze High Efficiency Liquid Laundry Detergent ,92
44,Tide Plus Ultra Oxi Liquid Laundry Detergent - 154 fl oz,https://www.target.com/p/tide-plus-ultra-oxi-liquid-laundry-detergent-154-fl-oz/-/A-79784604,3,Tide,0.0,79784604,21.49,USD,$,False,Tide Plus Ultra Oxi Liquid Laundry Detergent ,154
112,Tide Pods Clean Breeze Laundry Detergent Pacs - 34oz/42ct,https://www.target.com/p/tide-pods-clean-breeze-laundry-detergent-pacs-34oz-42ct/-/A-50225560,3,Tide,0.0,50225560,12.99,USD,$,False,Tide Pods Clean Breeze Laundry Detergent Pacs ,34
31,Tide Pods Laundry Detergent Pacs - Downy April Fresh - 30oz/32ct,https://www.target.com/p/tide-pods-laundry-detergent-pacs-downy-april-fresh-30oz-32ct/-/A-51818912,3,Tide,0.0,51818912,12.99,USD,$,False,Tide Pods Laundry Detergent Pacs ,30
13,Tide Pods Laundry Detergent Pacs - Free &#38; Gentle - 30oz/42ct,https://www.target.com/p/tide-pods-laundry-detergent-pacs-free-38-gentle-30oz-42ct/-/A-50225561,3,Tide,0.0,50225561,12.99,USD,$,False,Tide Pods Laundry Detergent Pacs ,30
54,Tide Pods Laundry Detergent Pacs - Spring Meadow - 15oz/20ct,https://www.target.com/p/tide-pods-laundry-detergent-pacs-spring-meadow-15oz-20ct/-/A-51086522,3,Tide,0.0,51086522,7.99,USD,$,False,Tide Pods Laundry Detergent Pacs ,15
170,Tide Pods Oxi Laundry Detergent - Free &#38; Gentle - 59oz/57ct,https://www.target.com/p/tide-pods-oxi-laundry-detergent-free-38-gentle-59oz-57ct/-/A-87716519,3,Tide,0.0,87716519,19.99,USD,$,False,Tide Pods Oxi Laundry Detergent ,59
113,Tide Pods Scent 4-in-1 with Febreze HE Compatible Laundry Detergent Pacs - Spring &#38; Renewal - 62oz/73ct,https://www.target.com/p/tide-pods-scent-4-in-1-with-febreze-he-compatible-laundry-detergent-pacs-spring-38-renewal-62oz-73ct/-/A-76727082,3,Tide,0.0,76727082,23.49,USD,$,False,Tide Pods Scent 4,62
11,Tide Pods Ultra Oxi Laundry Detergent Pacs - 59oz/57ct,https://www.target.com/p/tide-pods-ultra-oxi-laundry-detergent-pacs-59oz-57ct/-/A-87469580,3,Tide,0.0,87469580,19.99,USD,$,False,Tide Pods Ultra Oxi Laundry Detergent Pacs ,59
92,Tide Power Pods Clean Laundry Detergent - Spring Meadow - 42oz/25ct,https://www.target.com/p/tide-power-pods-clean-laundry-detergent-spring-meadow-42oz-25ct/-/A-83386293,3,Tide,0.0,83386293,12.99,USD,$,False,Tide Power Pods Clean Laundry Detergent ,42
85,Tide Purclean Plant-based Honey Lavender Liquid Laundry Detergent Eco-Box HE Compatible - 105 fl oz,https://www.target.com/p/tide-purclean-plant-based-honey-lavender-liquid-laundry-detergent-eco-box-he-compatible-105-fl-oz/-/A-76792023,3,Tide,4.4,76792023,19.99,USD,$,False,Tide Purclean Plant,105
110,Tide Seaside Fresh HE Compatible Liquid Laundry Detergent - 92 fl oz,https://www.target.com/p/tide-seaside-fresh-he-compatible-liquid-laundry-detergent-92-fl-oz/-/A-84114540,3,Tide,0.0,84114540,12.99,USD,$,False,Tide Seaside Fresh HE Compatible Liquid Laundry Detergent ,92
25,Tide Simply + Oxi Refreshing Breeze Liquid Laundry Detergent - 150 fl oz&#160;,https://www.target.com/p/tide-simply-oxi-refreshing-breeze-liquid-laundry-detergent-150-fl-oz-160/-/A-78016108,3,Tide,4.7,78016108,13.39,USD,$,False,Tide Simply + Oxi Refreshing Breeze Liquid Laundry Detergent ,150.160
114,Tide Simply Pods Oxi Refreshing Liquid Laundry Detergent Pacs - Breeze - 30oz/55ct,https://www.target.com/p/tide-simply-pods-oxi-refreshing-liquid-laundry-detergent-pacs-breeze-30oz-55ct/-/A-84114509,3,Tide,4.7,84114509,13.39,USD,$,False,Tide Simply Pods Oxi Refreshing Liquid Laundry Detergent Pacs ,30
